nic_classification,year,state,sector,indicator,nic_code,nic_description,nic_type,value,unit
2008,2023-24,All India,Combined,Total Output,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,1477225,₹ lakhs
2008,2023-24,All India,Combined,Total Output,273,Manufacture of Wiring and Wiring Devices,3-digit,17851118,₹ lakhs
2008,2023-24,All India,Combined,Total Output,3030,Manufacture of Air and Spacecraft and Related Machinery,4-digit,1477225,₹ lakhs
2008,2023-24,All India,Combined,Total Output,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,44643886,₹ lakhs
2008,2023-24,All India,Combined,Total Output,2432,Casting of Non-ferrous Metals,4-digit,3204318,₹ lakhs
2008,2023-24,All India,Combined,Total Output,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,44643886,₹ lakhs
2008,2023-24,All India,Combined,Total Output,251,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators",3-digit,14420741,₹ lakhs
2008,2023-24,All India,Combined,Total Output,259,Manufacture of Other Fabricated Metal Products; Metalworking Service Activities,3-digit,23338798,₹ lakhs
2008,2023-24,All India,Combined,Total Output,271,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",3-digit,22761460,₹ lakhs
2008,2023-24,All India,Combined,Total Output,243,Casting of Metals,3-digit,24441264,₹ lakhs
2008,2023-24,All India,Combined,Total Output,2733,Manufacture of Wiring Devices,4-digit,1965212,₹ lakhs
2008,2023-24,All India,Combined,Total Output,2732,Manufacture of Other Electronic and Electric Wires and Cables,4-digit,14109584,₹ lakhs
2008,2023-24,All India,Combined,Total Output,2710,"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus",4-digit,22761460,₹ lakhs
2008,2023-24,All India,Combined,Total Output,2599,Manufacture of Other Fabricated Metal Products N.e.c.,4-digit,14025621,₹ lakhs
2008,2023-24,All India,Combined,Total Output,2511,Manufacture of Structural Metal Products,4-digit,9850907,₹ lakhs
2008,2023-24,All India,Combined,Total Output,30,Manufacture of Other Transport Equipment,2-digit,33102351,₹ lakhs
2008,2023-24,All India,Combined,Total Output,27,Manufacture of Electrical Equipment,2-digit,65676879,₹ lakhs
2008,2023-24,All India,Combined,Total Output,25,"Manufacture of Fabricated Metal Products, Except Machinery and Equipment",2-digit,38348301,₹ lakhs
2008,2023-24,All India,Combined,Total Output,24,Manufacture of Basic Metals,2-digit,222144598,₹ lakhs
2008,2023-24,All India,Combined,Total Inputs,242,Manufacture of Basic Precious and Other Non-ferrous Metals,3-digit,39663794,₹ lakhs
2008,2023-24,All India,Combined,Total Inputs,2732,Manufacture of Other Electronic and Electric Wires and Cables,4-digit,12599708,₹ lakhs
2008,2023-24,All India,Combined,Total Inputs,27,Manufacture of Electrical Equipment,2-digit,53994327,₹ lakhs
2008,2023-24,All India,Combined,Total Inputs,30,Manufacture of Other Transport Equipment,2-digit,25770530,₹ lakhs
2008,2023-24,All India,Combined,Total Inputs,303,Manufacture of Air and Spacecraft and Related Machinery,3-digit,1064645,₹ lakhs
2008,2023-24,All India,Combined,Total Inputs,2420,Manufacture of Basic Precious and Other Non-ferrous Metals,4-digit,39663794,₹ lakhs
