year,nic_code,ectr
2011-12,24,22.01
2011-12,25,22.01
2011-12,27,22.01
2011-12,30,22.01
2011-12,242,22.01
2011-12,243,22.01
2011-12,251,22.01
2011-12,259,22.01
2011-12,271,22.01
2011-12,273,22.01
2011-12,303,22.01
2011-12,2420,22.01
2011-12,2432,22.01
2011-12,2511,22.01
2011-12,2599,22.01
2011-12,2710,22.01
2011-12,2732,22.01
2011-12,2733,22.01
2011-12,3030,22.01
2012-13,24,21.1
2012-13,25,21.1
2012-13,27,21.1
2012-13,30,21.1
2012-13,242,21.1
2012-13,243,21.1
2012-13,251,21.1
2012-13,259,21.1
2012-13,271,21.1
2012-13,273,21.1
2012-13,303,21.1
2012-13,2420,21.1
2012-13,2432,21.1
2012-13,2511,21.1
2012-13,2599,21.1
2012-13,2710,21.1
2012-13,2732,21.1
2012-13,2733,21.1
2012-13,3030,21.1
2013-14,24,23.2
2013-14,25,23.2
2013-14,27,23.2
2013-14,30,23.2
2013-14,242,23.2
2013-14,243,23.2
2013-14,251,23.2
2013-14,259,23.2
2013-14,271,23.2
2013-14,273,23.2
2013-14,303,23.2
2013-14,2420,23.2
2013-14,2432,23.2
2013-14,2511,23.2
2013-14,2599,23.2
2013-14,2710,23.2
2013-14,2732,23.2
2013-14,2733,23.2
2013-14,3030,23.2
2014-15,24,22.06
2014-15,25,22.06
2014-15,27,22.06
2014-15,30,22.06
2014-15,242,22.06
2014-15,243,22.06
2014-15,251,22.06
2014-15,259,22.06
2014-15,271,22.06
2014-15,273,22.06
2014-15,303,22.06
2014-15,2420,22.06
2014-15,2432,22.06
2014-15,2511,22.06
2014-15,2599,22.06
2014-15,2710,22.06
2014-15,2732,22.06
2014-15,2733,22.06
2014-15,3030,22.06
2015-16,24,25.86
2015-16,25,25.86
2015-16,27,25.86
2015-16,30,25.86
2015-16,242,25.86
2015-16,243,25.86
2015-16,251,25.86
2015-16,259,25.86
2015-16,271,25.86
2015-16,273,25.86
2015-16,303,25.86
2015-16,2420,25.86
2015-16,2432,25.86
2015-16,2511,25.86
2015-16,2599,25.86
2015-16,2710,25.86
2015-16,2732,25.86
2015-16,2733,25.86
2015-16,3030,25.86
2016-17,24,24.75
2016-17,25,24.75
2016-17,27,24.75
2016-17,30,24.75
2016-17,242,24.75
2016-17,243,24.75
2016-17,251,24.75
2016-17,259,24.75
2016-17,271,24.75
2016-17,273,24.75
2016-17,303,24.75
2016-17,2420,24.75
2016-17,2432,24.75
2016-17,2511,24.75
2016-17,2599,24.75
2016-17,2710,24.75
2016-17,2732,24.75
2016-17,2733,24.75
2016-17,3030,24.75
2017-18,24,28.0
2017-18,25,28.0
2017-18,27,28.0
2017-18,30,28.0
2017-18,242,28.0
2017-18,243,28.0
2017-18,251,28.0
2017-18,259,28.0
2017-18,271,28.0
